date;2022-10-01;time;18:45;expression;(2+3)*5;result;25.0
date;2022-10-01;time;18:59;expression;2/4+4/7;result;15/14
date;2022-10-01;time;19:00;expression;3/4+4/7;result;37/28
date;2022-10-01;time;19:01;expression;3/4+4/7;result;37/28
date;2022-10-01;time;19:05;expression;(2.+3i)+(1+2i);result;3.0+5.0i
date;2022-10-01;time;19:10;expression;2+3;result;5.0
date;2022-10-01;time;19:32;expression;5+2;result;7.0
date;2022-10-07;time;11:40;expression;22-1;result;21.0
date;2022-10-07;time;11:47;expression;2+ 5;result;7.0
date;2022-10-07;time;11:51;expression;2*7;result;14.0
date;2022-10-07;time;11:52;expression;2*7;result;14.0
date;2022-10-07;time;11:52;expression;1/3 * 2/3;result;2/9
date;2022-10-07;time;11:54;expression;(1-2i)+(3+6i);result;4.0+4.0i
date;2022-10-07;time;12:42;expression;Dggsfh;result;Извините, это для меня слишком сложно!
date;2022-10-07;time;12:43;expression;2-1;result;1.0
date;2022-10-07;time;12:43;expression;Fhcdf;result;Извините, это для меня слишком сложно!
date;2022-10-07;time;12:45;expression;1/2  / 1/2;result;1
date;2022-10-07;time;12:48;expression;(2 + 7i) * (42 + 5i);result;49.0+304.0i
date;2022-10-07;time;13:05;expression;2+3;result;5.0
date;2022-10-07;time;13:05;expression;1/2-1/2;result;0
date;2022-10-07;time;13:06;expression;(2 + 7i) * (42 + 5i);result;49.0+304.0i
